Source,Text,URL,Favorites,Retweets
Ultima Hora,[MUNDO] Un detenido en la manifestación favorable a Rousseff en Brasilia https://t.co/tg5PKVtclR https://t.co/9U5JzeF0SJ,http://www.twitter.com/UltimaHoracom/status/730613633907097600,0,3
Ultima Hora,Barrabravas atacan a transeúnte sobre Mariscal López https://t.co/wiN6jBRn1a https://t.co/Sh0u12UGrH,http://www.twitter.com/UltimaHoracom/status/730611015721832449,3,6
Ultima Hora,"VIDEO. ""Escracharon"" a Camila Benítez en colegio Fernando de la Mora https://t.co/6YFc2dLcwq https://t.co/0pRAuLHpEq",http://www.twitter.com/UltimaHoracom/status/730607538799005696,16,17
Ultima Hora,#ETC Polémica en Argentina por cura que exigió a feligreses código de vestimenta https://t.co/djGm5kVD4I https://t.co/ISa0iG9nOt,http://www.twitter.com/UltimaHoracom/status/730591385674387457,7,11
Ultima Hora,Rousseff acelera su mudanza del palacio presidencial ante previsible derrota https://t.co/TIWdt5dYoU https://t.co/A4RMIzqIx6,http://www.twitter.com/UltimaHoracom/status/730587040455217152,16,26
Ultima Hora,Pianista homenajeará al Paraguay en Sudáfrica https://t.co/qrjJPaFUaV https://t.co/FYt49ZpGIz,http://www.twitter.com/UltimaHoracom/status/730582668719587328,31,15
Ultima Hora,Estudiantes continúan toma en el colegio Fernando de la Mora https://t.co/g6lI4ZCRRc https://t.co/8J2x9My1lr,http://www.twitter.com/UltimaHoracom/status/730570753658097666,8,9
Ultima Hora,CM se reacomoda tras salida de Riera https://t.co/dMuXFgySvf https://t.co/4LdG6VvzoX,http://www.twitter.com/UltimaHoracom/status/730565702839603200,4,2
Ultima Hora,[MUNDO] El Senado se empieza a inclinar por el juicio que suspenderá a Rousseff https://t.co/hOKlMNw9Rd https://t.co/4kHtL5OXBT,http://www.twitter.com/UltimaHoracom/status/730561608108396544,13,8
Ultima Hora,Poda de árboles: Comuna insta a pedir el retiro de residuos https://t.co/EYCwoArVXm,http://www.twitter.com/UltimaHoracom/status/730557494523793409,4,2
Ultima Hora,[MUNDO] Brasil confirma 55 nuevos casos de microcefalia vinculados al virus Zika https://t.co/oF7VoiNSt7 https://t.co/DmezCCdA8a,http://www.twitter.com/UltimaHoracom/status/730551759194738688,11,7
Ultima Hora,Estudiantes celebran logros removiendo una placa stronista https://t.co/guNSCmLXWs https://t.co/jSwG24221Z,http://www.twitter.com/UltimaHoracom/status/730542974770282496,40,40
Ultima Hora,Piden captura de mujer acusada de matar a su pareja https://t.co/Z6pn1vhAJH,http://www.twitter.com/UltimaHoracom/status/730537769529966593,1,1
